reader(7)  get:6   start:97.31201   end:98.29344 
reader(3)  get:6   start:98.05166   end:98.99229 
reader(1)  get:6   start:97.59090   end:99.30224 
reader(8)  get:6   start:97.46773   end:99.44201 
reader(5)  get:6   start:98.18287   end:99.52104 
reader(2)  get:6   start:99.23373   end:99.56749 
reader(3)  get:6   start:99.80586   end:100.12147 
reader(6)  get:6   start:99.59591   end:100.25009 
reader(5)  get:6   start:99.58929   end:100.80293 
reader(4)  get:6   start:99.17096   end:101.19547 
reader(7)  get:6   start:100.05998   end:101.21932 
reader(8)  get:6   start:101.08945   end:101.34161 
reader(2)  get:6   start:101.21896   end:101.44749 
reader(1)  get:6   start:100.75780   end:101.62017 
reader(7)  get:6   start:102.37077   end:102.58137 
reader(6)  get:6   start:101.07864   end:102.81389 
reader(3)  get:6   start:101.96381   end:103.06031 
reader(1)  get:6   start:102.20161   end:103.33880 
reader(5)  get:6   start:102.73334   end:103.39287 
reader(4)  get:6   start:102.04308   end:103.68348 
reader(8)  get:6   start:102.62743   end:104.55963 
reader(1)  get:6   start:103.82211   end:104.72128 
reader(2)  get:6   start:103.37808   end:104.97139 
reader(4)  get:6   start:103.81279   end:105.22000 
reader(3)  get:6   start:103.70455   end:105.36603 
reader(5)  get:6   start:105.04930   end:105.76989 
reader(6)  get:6   start:104.07318   end:105.84558 
reader(7)  get:6   start:104.51864   end:106.14077 
reader(1)  get:6   start:106.23499   end:106.39756 
reader(8)  get:6   start:106.41896   end:106.77138 
reader(2)  get:6   start:105.32063   end:106.96200 
reader(4)  get:6   start:106.22060   end:107.47708 
reader(6)  get:6   start:107.07292   end:107.66019 
reader(3)  get:6   start:106.13915   end:107.72058 
reader(3)  get:6   start:107.77540   end:108.21995 
reader(7)  get:6   start:106.83032   end:108.28273 
reader(5)  get:6   start:107.61747   end:108.40575 
reader(6)  get:6   start:108.05399   end:108.67718 
reader(4)  get:6   start:108.48225   end:108.86873 
reader(1)  get:6   start:108.08304   end:109.35533 
reader(8)  get:6   start:107.42790   end:109.43913 
reader(7)  get:6   start:109.60532   end:110.43063 
reader(4)  get:6   start:109.50538   end:110.56579 
reader(5)  get:6   start:109.25007   end:110.70847 
reader(2)  get:6   start:108.70901   end:110.72326 
reader(8)  get:6   start:109.75667   end:110.86332 
reader(3)  get:6   start:109.42831   end:111.21639 
reader(6)  get:6   start:109.41499   end:111.24934 
reader(1)  get:6   start:110.26856   end:112.04211 
reader(8)  get:6   start:112.09407   end:112.27044 
reader(4)  get:6   start:110.81310   end:112.51276 
reader(7)  get:6   start:111.21785   end:112.82736 
reader(6)  get:6   start:111.48213   end:113.31546 
reader(1)  get:6   start:112.32888   end:113.71359 
reader(2)  get:6   start:111.72350   end:113.72688 
reader(3)  get:6   start:112.26076   end:114.34436 
reader(7)  get:6   start:114.39778   end:114.51100 
reader(5)  get:6   start:112.63410   end:114.59319 
reader(8)  get:6   start:113.28557   end:114.98490 
reader(2)  get:6   start:113.96913   end:115.12351 
reader(4)  get:6   start:113.37427   end:115.23769 
reader(8)  get:6   start:115.81237   end:115.94607 
reader(1)  get:6   start:114.22764   end:116.08626 
reader(4)  get:6   start:115.76215   end:116.29044 
reader(6)  get:6   start:115.08911   end:116.35777 
reader(1)  get:6   start:116.24700   end:116.37433 
reader(7)  get:6   start:114.99351   end:116.46326 
reader(3)  get:6   start:114.90398   end:116.69141 
reader(7)  get:6   start:117.09779   end:117.40124 
reader(8)  get:6   start:116.13056   end:117.72409 
reader(5)  get:6   start:115.71565   end:117.76893 
reader(3)  get:6   start:117.15005   end:118.29903 
reader(4)  get:6   start:118.08577   end:118.33197 
reader(8)  get:6   start:117.75449   end:118.43193 
reader(2)  get:6   start:116.50833   end:118.50187 
reader(1)  get:6   start:117.41757   end:118.63637 
reader(5)  get:6   start:118.64454   end:118.86116 
reader(7)  get:6   start:118.92590   end:119.09414 
reader(1)  get:6   start:118.83101   end:119.17038 
reader(6)  get:6   start:117.39013   end:119.27861 
reader(4)  get:6   start:119.24740   end:119.60070 
reader(3)  get:6   start:118.44647   end:119.93762 
reader(6)  get:6   start:119.66279   end:120.15388 
reader(8)  get:6   start:119.70117   end:120.23868 
reader(3)  get:6   start:120.50979   end:120.61499 
reader(7)  get:6   start:119.76135   end:120.67284 
reader(2)  get:6   start:119.80108   end:120.79722 
reader(1)  get:6   start:119.47963   end:120.93906 
reader(5)  get:6   start:119.58049   end:121.51888 
reader(4)  get:6   start:119.77787   end:121.71837 
reader(8)  get:6   start:120.47881   end:122.23215 
reader(2)  get:6   start:121.23547   end:122.24568 
reader(8)  get:6   start:122.44035   end:122.54465 
reader(6)  get:6   start:121.04246   end:122.63370 
reader(5)  get:6   start:122.31913   end:122.97427 
reader(7)  get:6   start:122.46041   end:123.18354 
reader(6)  get:6   start:123.06702   end:123.43819 
reader(2)  get:6   start:123.23997   end:123.60523 
reader(1)  get:6   start:122.91448   end:123.62759 
reader(3)  get:6   start:122.44318   end:123.81338 
reader(8)  get:6   start:123.21687   end:124.20120 
reader(4)  get:6   start:122.60065   end:124.27992 
reader(5)  get:6   start:123.46845   end:124.29286 
reader(7)  get:6   start:123.53170   end:124.35000 
reader(6)  get:6   start:124.15458   end:124.75188 
reader(2)  get:6   start:124.45048   end:124.86763 
reader(3)  get:6   start:124.77261   end:124.95090 
reader(8)  get:6   start:125.37573   end:125.80097 
reader(1)  get:6   start:124.79679   end:126.01403 
reader(6)  get:6   start:126.08435   end:126.26156 
reader(8)  get:6   start:126.29632   end:126.64351 
reader(4)  get:6   start:125.06611   end:126.83535 
reader(2)  get:6   start:126.63874   end:126.86403 
reader(7)  get:6   start:125.52017   end:127.46955 
reader(3)  get:6   start:126.79506   end:127.49034 
reader(5)  get:6   start:126.13491   end:127.86806 
reader(7)  get:6   start:127.62599   end:127.99252 
reader(4)  get:6   start:127.84559   end:128.15695 
reader(1)  get:6   start:126.96212   end:128.37439 
reader(6)  get:6   start:127.20076   end:128.59223 
reader(7)  get:6   start:128.35195   end:128.94934 
reader(6)  get:6   start:128.63540   end:129.00255 
reader(2)  get:6   start:127.89622   end:129.04847 
reader(8)  get:6   start:127.41100   end:129.26233 
reader(3)  get:6   start:127.94981   end:129.65911 
reader(5)  get:6   start:129.05853   end:129.95977 
reader(3)  get:6   start:129.69657   end:130.47870 
reader(4)  get:6   start:129.52719   end:130.50538 
reader(8)  get:6   start:129.46945   end:130.66800 
reader(7)  get:6   start:130.34553   end:130.80583 
reader(2)  get:6   start:129.64067   end:131.57996 
reader(1)  get:6   start:130.36958   end:131.74785 
reader(7)  get:6   start:131.50516   end:132.57051 
reader(6)  get:6   start:130.71496   end:132.63626 
reader(8)  get:6   start:130.81440   end:132.77471 
reader(2)  get:6   start:131.65019   end:132.77744 
reader(3)  get:6   start:131.00897   end:132.94615 
reader(5)  get:6   start:131.92404   end:132.96728 
reader(4)  get:6   start:131.89787   end:133.23506 
reader(2)  get:6   start:133.32178   end:133.44201 
reader(5)  get:6   start:133.22345   end:133.47392 
reader(7)  get:6   start:133.51492   end:134.45614 
reader(1)  get:6   start:133.32324   end:134.67160 
reader(3)  get:6   start:132.94732   end:134.93756 
reader(4)  get:6   start:133.92534   end:135.40507 
reader(8)  get:6   start:133.71196   end:135.62063 
reader(6)  get:6   start:134.37043   end:135.67195 
reader(5)  get:6   start:134.89034   end:135.83464 
reader(2)  get:6   start:134.56725   end:136.13466 
reader(1)  get:6   start:134.82194   end:136.15328 
reader(7)  get:6   start:135.54135   end:136.32256 
reader(1)  get:6   start:136.80386   end:137.33738 
reader(3)  get:6   start:135.78678   end:137.59494 
reader(6)  get:6   start:136.39023   end:137.73569 
reader(4)  get:6   start:136.49557   end:137.73994 
reader(8)  get:6   start:137.43633   end:137.78283 
reader(5)  get:6   start:137.22387   end:138.12703 
reader(7)  get:6   start:138.21276   end:138.52607 
reader(1)  get:6   start:138.37180   end:138.64701 
reader(5)  get:6   start:138.72728   end:138.91236 
reader(6)  get:6   start:138.00202   end:139.34126 
reader(2)  get:6   start:137.64721   end:139.47158 
reader(3)  get:6   start:138.54912   end:139.94740 
reader(5)  get:6   start:139.39760   end:140.22994 
reader(8)  get:6   start:138.63235   end:140.37472 
reader(6)  get:6   start:139.69887   end:140.80613 
reader(7)  get:6   start:140.32729   end:140.94560 
reader(3)  get:6   start:140.37778   end:141.04102 
reader(4)  get:6   start:139.49942   end:141.32876 
reader(8)  get:6   start:141.01212   end:141.48443 
reader(3)  get:6   start:141.39844   end:141.55682 
reader(1)  get:6   start:140.59829   end:142.01973 
reader(5)  get:6   start:141.34720   end:142.07048 
reader(7)  get:6   start:141.06889   end:142.24612 
reader(6)  get:6   start:141.35949   end:142.29569 
reader(2)  get:6   start:140.63795   end:142.52013 
reader(8)  get:6   start:142.90528   end:143.22059 
reader(3)  get:6   start:142.55007   end:143.86142 
reader(1)  get:6   start:142.29132   end:143.96060 
reader(7)  get:6   start:142.59648   end:143.97482 
reader(8)  get:6   start:143.66496   end:144.27241 
reader(4)  get:6   start:142.98196   end:144.58332 
reader(5)  get:6   start:143.66577   end:144.63998 
reader(3)  get:6   start:144.47860   end:145.42882 
reader(4)  get:6   start:144.60963   end:145.48898 
reader(7)  get:6   start:145.04409   end:145.57527 
reader(6)  get:6   start:143.53221   end:145.57645 
reader(8)  get:6   start:145.00966   end:145.77096 
reader(1)  get:6   start:144.54385   end:145.93421 
reader(2)  get:6   start:144.37929   end:146.38359 
reader(7)  get:6   start:146.06535   end:146.56152 
reader(8)  get:6   start:145.81739   end:146.67854 
reader(4)  get:6   start:146.54327   end:146.89767 
reader(1)  get:6   start:146.77553   end:146.90190 
reader(6)  get:6   start:146.82366   end:147.07899 
