reader(3)  get:6   start:56.65193   end:57.05214 
reader(4)  get:6   start:56.69366   end:57.26112 
reader(7)  get:6   start:57.15887   end:57.41118 
reader(2)  get:6   start:56.04995   end:57.57824 
reader(8)  get:6   start:57.07850   end:58.23964 
reader(1)  get:6   start:56.87065   end:58.66389 
reader(5)  get:6   start:57.34253   end:58.90466 
reader(1)  get:6   start:58.94231   end:59.32942 
reader(8)  get:6   start:58.31486   end:59.90303 
reader(6)  get:6   start:57.86826   end:59.95943 
reader(5)  get:6   start:58.97686   end:60.01313 
reader(3)  get:6   start:58.56140   end:60.36164 
reader(2)  get:6   start:59.14064   end:60.36971 
reader(4)  get:6   start:58.66336   end:60.57357 
reader(7)  get:6   start:58.78841   end:60.62255 
reader(6)  get:6   start:60.58461   end:61.74488 
reader(2)  get:6   start:60.42295   end:61.79018 
reader(1)  get:6   start:60.96664   end:62.17430 
reader(5)  get:6   start:60.53541   end:62.21556 
reader(4)  get:6   start:61.65686   end:62.26022 
reader(8)  get:6   start:61.46227   end:62.31550 
reader(7)  get:6   start:62.05973   end:63.34688 
reader(8)  get:6   start:62.38395   end:63.36114 
reader(2)  get:6   start:62.25247   end:63.52976 
reader(8)  get:6   start:63.52838   end:63.81857 
reader(3)  get:6   start:62.02892   end:64.03406 
reader(5)  get:6   start:63.23868   end:64.17684 
reader(6)  get:6   start:63.47112   end:64.48167 
reader(4)  get:6   start:63.73243   end:64.49465 
reader(1)  get:6   start:63.57181   end:65.26823 
reader(7)  get:6   start:63.69307   end:65.62144 
reader(4)  get:6   start:65.51677   end:65.63697 
reader(2)  get:6   start:64.63394   end:65.64834 
reader(8)  get:6   start:64.03970   end:66.02585 
reader(1)  get:6   start:65.50128   end:66.06054 
reader(6)  get:6   start:65.65481   end:66.31710 
reader(5)  get:6   start:66.00908   end:66.59829 
reader(7)  get:6   start:66.16389   end:67.25116 
reader(6)  get:6   start:66.94537   end:67.31249 
reader(5)  get:6   start:66.69854   end:67.32990 
reader(7)  get:6   start:67.54255   end:67.74901 
reader(4)  get:6   start:66.15633   end:67.92369 
reader(3)  get:6   start:65.94123   end:68.02236 
reader(1)  get:6   start:66.62067   end:68.54601 
reader(2)  get:6   start:67.39486   end:68.94019 
reader(5)  get:6   start:68.25835   end:69.10052 
reader(8)  get:6   start:67.98528   end:69.11869 
reader(3)  get:6   start:69.07654   end:69.24772 
reader(6)  get:6   start:67.59168   end:69.28291 
reader(2)  get:6   start:69.47148   end:69.69856 
reader(3)  get:6   start:69.83883   end:70.49910 
reader(8)  get:6   start:69.75006   end:70.53744 
reader(1)  get:6   start:68.60126   end:70.66948 
reader(7)  get:6   start:69.41519   end:70.70846 
reader(4)  get:6   start:69.49394   end:70.93119 
reader(2)  get:6   start:70.40732   end:71.38055 
reader(3)  get:6   start:70.71639   end:71.78680 
reader(4)  get:6   start:71.74239   end:71.87563 
reader(6)  get:6   start:70.13124   end:71.92647 
reader(5)  get:6   start:70.64590   end:72.15007 
reader(8)  get:6   start:71.61384   end:72.27471 
reader(1)  get:6   start:70.71168   end:72.49498 
reader(7)  get:6   start:72.07566   end:73.39019 
reader(3)  get:6   start:72.70202   end:73.63627 
reader(5)  get:6   start:73.35648   end:74.01771 
